"gene","order","n_hits","total"
"trpC","Actinomycetales",23,119
"trpC","Bacillales_D",1,119
"trpC","Deinococcales",5,119
"trpC","Enterobacterales",19,119
"trpC","Lactobacillales",40,119
"trpC","Mycobacteriales",5,119
"trpC","Propionibacteriales",2,119
"trpC","Pseudomonadales",11,119
"trpC","Staphylococcales",12,119
"trpC","Tissierellales",0,119
"trpC","Xanthomonadales",1,119
