"Rheology","gene","pct"
"Hard","bioH",9.375
"Hard","cobT",11.4583333333333
"Hard","folA",8.33333333333334
"Hard","folB",23.0208333333333
"Hard","folE",17.011217948718
"Hard","folK",21.6987179487179
"Hard","folP",21.4583333333333
"Hard","ribA",8.85416666666667
"Hard","ribB",11.4583333333333
"Hard","ribBA",18.2291666666667
"Hard","ribD",21.3541666666667
"Hard","ribE",21.3541666666667
"Hard","ribF",49.7195512820513
"Hard","ribH",11.9791666666667
"Hard","ribU",25.3445512820513
"Semihard","bioH",15.4504504504505
"Semihard","cobT",13.9780120100486
"Semihard","folA",18.4589853010906
"Semihard","folB",30.30395333599
"Semihard","folE",36.8676598996965
"Semihard","folK",26.395429427466
"Semihard","folP",29.4656613134874
"Semihard","ribA",12.9279279279279
"Semihard","ribB",12.972972972973
"Semihard","ribBA",28.0831495829281
"Semihard","ribD",38.3627336783017
"Semihard","ribE",36.9023259021044
"Semihard","ribF",47.4762833181671
"Semihard","ribH",28.7041277039063
"Semihard","ribU",10.7751910850383
"Soft","bioH",25.3647741147741
"Soft","cobT",11.6468253968254
"Soft","folA",22.7219282774838
"Soft","folB",36.8231074481075
"Soft","folE",41.2083955139511
"Soft","folK",28.9328958078958
"Soft","folP",34.5450357255913
"Soft","ribA",13.2615995115995
"Soft","ribB",17.0314407814408
"Soft","ribBA",31.1124960430516
"Soft","ribD",36.9259881065437
"Soft","ribE",28.4858171663727
"Soft","ribF",53.9398769954326
"Soft","ribH",24.5648769954325
"Soft","ribU",9.90740740740741
"Very_hard","bioH",10.1333333333333
"Very_hard","cobT",18.1333333333333
"Very_hard","folA",12.318094365552
"Very_hard","folB",34.3238095238095
"Very_hard","folE",33.0985842985843
"Very_hard","folK",26.8
"Very_hard","folP",30.9081081081081
"Very_hard","ribA",11.4666666666667
"Very_hard","ribB",6.13333333333333
"Very_hard","ribBA",27.5238095238095
"Very_hard","ribD",40.9904761904762
"Very_hard","ribE",40.9904761904762
"Very_hard","ribF",56.1276181750758
"Very_hard","ribH",30.8571428571429
"Very_hard","ribU",22.1847610322187
